Index,Order ID,Cust ID,Gender,Age,Date,Status,Channel ,SKU,Category,Size,Qty,Amount,Ship-City,Ship-State,Ship-Postal-Code,B2B,age_group
9949,405-1137788-5585156,1137788,M,50,04-01-2023,Delivered,Myntra,JNE3797-KR-XL,Western Dress,XL,1,735,THANE,MAHARASHTRA,400615,No,middle_age
9979,403-9900766-1254737,9900766,M,18,04-01-2023,Delivered,Flipkart,SET121-KR-NP-XXXL,Set,3XL,1,495,NEW DELHI,DELHI,110086,No,youth
10265,406-9040211-5250700,9040211,F,50,04-01-2023,Delivered,Flipkart,PJNE3252-KR-N-6XL,kurta,6XL,1,925,PORBANDAR,GUJARAT,360575,No,middle_age
9923,403-7619745-3015506,7619745,M,30,04-01-2023,Delivered,Nykaa,SET278-KR-NP-M,Set,M,1,1432,JHANSI,UTTAR PRADESH,284003,No,adults
9953,403-1062826-4019517,1062826,F,30,04-01-2023,Refunded,Amazon,JNE3690-TU-XXXL,Top,3XL,1,518,KOLKATA,WEST BENGAL,700108,No,adults
9961,403-6960188-0773102,6960188,F,30,04-01-2023,Refunded,Myntra,JNE3654-TP-M,Top,M,1,371,BARDOLI,GUJARAT,394601,No,adults
9976,402-7690402-1438741,7690402,F,30,04-01-2023,Delivered,Flipkart,JNE3435-KR-XXL,kurta,XXL,1,487,CHENNAI,TAMIL NADU,600094,No,adults
9994,406-5115730-6971538,5115730,M,30,04-01-2023,Delivered,Myntra,SAR001,Saree,Free,1,1154,THAKURGANJ,BIHAR,855116,No,adults
10058,405-1058598-7066734,1058598,M,30,04-01-2023,Delivered,Flipkart,SET357-KR-NP-S,Set,S,1,725,NOIDA,UTTAR PRADESH,201304,No,adults
10074,403-1024658-3676347,1024658,F,30,04-01-2023,Delivered,Myntra,SET377-KR-NP-XL,Set,XL,1,1238,Gorakhpur,UTTAR PRADESH,273015,No,adults
10194,407-7614843-0951556,7614843,M,30,04-01-2023,Delivered,Myntra,JNE3800-KR-M,Western Dress,M,1,735,NAVI MUMBAI,MAHARASHTRA,410209,No,adults
10201,405-2665944-1819530,2665944,F,30,04-01-2023,Delivered,Myntra,JNE3781-KR-XXL,kurta,XXL,3,1248,PILICODE,KERALA,671313,No,adults
10218,405-7001770-9086707,7001770,M,30,04-01-2023,Delivered,Amazon,SAR018,Saree,Free,1,635,FARIDABAD,HARYANA,121002,No,adults
10336,402-1574454-1743535,1574454,F,50,04-01-2023,Delivered,Flipkart,JNE3160-KR-G-XXL,kurta,XXL,1,729,CHENNAI,TAMIL NADU,600004,No,middle_age
10598,404-4270223-2455532,4270223,M,50,04-01-2023,Delivered,Myntra,JNE3797-KR-XXL,Western Dress,XXL,1,771,KANGRA,HIMACHAL PRADESH,176029,No,middle_age
9980,408-7197529-9819516,7197529,F,18,04-01-2023,Delivered,Meesho,J0034-SET-M,Set,M,1,717,RAIPUR,CHHATTISGARH,492001,No,youth
20894,406-4196402-0026707,4196402,M,50,05-01-2023,Delivered,Myntra,J0247-SKD-M,Set,M,1,849,MEDINIPUR,WEST BENGAL,721101,No,middle_age
10252,407-7366359-3232355,7366359,M,30,04-01-2023,Delivered,Flipkart,J0234-SKD-XL,Set,XL,1,1186,BENGALURU,KARNATAKA,560068,No,adults
10301,171-3193410-0902756,3193410,M,30,04-01-2023,Delivered,Ajio,NW030-TP-PJ-M,Set,M,1,582,NAGAUR,RAJASTHAN,341001,No,adults
10000,408-9915648-5924348,9915648,M,18,04-01-2023,Delivered,Flipkart,SET268-KR-NP-XXL,Set,XXL,1,788,GURUGRAM,HARYANA,122001,No,youth
10367,402-4320075-7581164,4320075,F,30,04-01-2023,Delivered,Ajio,JNE3605-KR-XL,kurta,XL,1,517,AVERSA,KARNATAKA,581316,No,adults
10402,402-5452322-4458760,5452322,M,30,04-01-2023,Delivered,Amazon,J0277-SKD-S,Set,S,1,1323,KOLKATA,WEST BENGAL,700026,No,adults
21132,404-0163600-1148320,163600,M,50,05-01-2023,Delivered,Ajio,J0005-DR-L,Western Dress,L,1,899,HYDERABAD,TELANGANA,500019,No,middle_age
10413,408-2692972-0497902,2692972,F,30,04-01-2023,Delivered,Flipkart,JNE3802-KR-L,kurta,L,1,453,CHENNAI,TAMIL NADU,600073,No,adults
10423,407-9287863-4062728,9287863,M,30,04-01-2023,Delivered,Nykaa,JNE3797-KR-L,Western Dress,L,1,725,AHMEDABAD,GUJARAT,380009,No,adults
10431,171-0425926-9400334,425926,F,30,04-01-2023,Delivered,Amazon,SET374-KR-NP-S,Set,S,1,666,GUNTUR,ANDHRA PRADESH,522007,No,adults
21271,406-5023277-8510726,5023277,F,50,05-01-2023,Delivered,Ajio,J0124-TP-M,Top,M,1,523,Bengaluru,KARNATAKA,560070,No,middle_age
21497,406-9530107-0349168,9530107,F,50,05-01-2023,Delivered,Flipkart,JNE3739-KR-XXXL,kurta,3XL,1,459,SOLAPUR,MAHARASHTRA,413002,No,middle_age
10010,171-5430821-9357935,5430821,F,18,04-01-2023,Delivered,Amazon,SET268-KR-NP-XS,Set,XS,1,698,SURAT,GUJARAT,395004,No,youth
30505,404-1846630-0923531,1846630,F,50,06-01-2023,Delivered,Amazon,MEN5019-KR-XXL,kurta,XXL,1,476,BENGALURU,KARNATAKA,560100,No,middle_age
10468,408-4833338-3962762,4833338,F,30,04-01-2023,Cancelled,Others,JNE3405-KR-L,kurta,L,1,399,KADAPA,ANDHRA PRADESH,516002,No,adults
10106,408-4720952-5100369,4720952,M,18,04-01-2023,Delivered,Amazon,SET269-KR-NP-L,Set,L,1,799,HIJULI,WEST BENGAL,723121,No,youth
10476,407-6024343-9925121,6024343,M,30,04-01-2023,Delivered,Ajio,J0230-SKD-S,Set,S,1,1319,RAIPUR,CHHATTISGARH,492001,No,adults
30735,407-4793075-9460315,4793075,F,50,06-01-2023,Delivered,Flipkart,SET293-KR-NP-M,Set,M,1,692,Bangalore,KARNATAKA,560010,No,middle_age
10504,407-4310696-6530752,4310696,M,30,04-01-2023,Delivered,Amazon,SET331-KR-NP-M,Set,M,1,597,KARUR,TAMIL NADU,624706,No,adults
10117,408-5354886-9357959,5354886,M,18,04-01-2023,Delivered,Amazon,JNE3798-KR-XXXL,Western Dress,3XL,1,725,BARWANI,MADHYA PRADESH,451551,No,youth
30783,408-3598468-4989942,3598468,M,50,06-01-2023,Delivered,Myntra,J0295-DR-M,Western Dress,M,1,859,MALAPPURAM DISTRICT,KERALA,679573,No,middle_age
10531,402-0243343-9731533,243343,F,30,04-01-2023,Delivered,Myntra,SET390-KR-NP-XXXL,Set,3XL,1,882,Ernakulam Dist.,KERALA,683511,No,adults
10548,403-9984530-4477124,9984530,F,30,04-01-2023,Cancelled,Flipkart,SET277-KR-NP-L,Set,L,1,1338,Naharlagun,ARUNACHAL PRADESH,791110,No,adults
10553,403-9984530-4477124,9984530,M,30,04-01-2023,Delivered,Myntra,J0006-SET-L,Ethnic Dress,L,1,855,PUNE,MAHARASHTRA,411042,No,adults
10579,406-2923867-4936328,2923867,F,30,04-01-2023,Delivered,Flipkart,SET328-KR-NP-XXL,Set,XXL,1,545,Coimbatore,TAMIL NADU,641019,No,adults
10172,402-5186928-4265926,5186928,M,18,04-01-2023,Delivered,Myntra,JNE3797-KR-A-S,Western Dress,S,1,725,HYDERABAD,TELANGANA,500083,No,youth
10584,404-2689414-3166728,2689414,M,30,04-01-2023,Delivered,Amazon,J0349-SET-L,Set,L,1,845,PUNE,MAHARASHTRA,411030,No,adults
30791,408-4410380-9972341,4410380,M,50,06-01-2023,Delivered,Others,JNE3798-KR-XL,Western Dress,XL,1,761,mumbai,MAHARASHTRA,400014,No,middle_age
10610,404-7065111-8213114,7065111,F,30,04-01-2023,Delivered,Ajio,JNE3405-KR-XXXL,kurta,3XL,1,449,rishikesh,UTTARAKHAND,249201,No,adults
10176,403-0076986-9921953,76986,F,18,04-01-2023,Delivered,Amazon,SET356-KR-NP-XS,Set,XS,1,999,GUWAHATI,ASSAM,781032,No,youth
30795,405-4785342-1088314,4785342,F,50,06-01-2023,Delivered,Meesho,JNE3721-KR-XL,kurta,XL,1,292,Addanki,ANDHRA PRADESH,523201,No,middle_age
10626,403-4388161-9973955,4388161,F,30,04-01-2023,Delivered,Flipkart,SET319-KR-NP-M,Set,M,1,888,IRINJALAKUDA,KERALA,680125,No,adults
10685,404-1455909-3815502,1455909,F,30,04-01-2023,Delivered,Myntra,J0008-SKD-XXL,Set,XXL,1,1065,JALGAON,MAHARASHTRA,425001,No,adults
10694,403-1809102-7417126,1809102,F,30,04-01-2023,Delivered,Flipkart,JNE3405-KR-XXL,kurta,XXL,1,435,Chennai,TAMIL NADU,600010,No,adults
10723,404-7798801-9491545,7798801,F,30,04-01-2023,Delivered,Amazon,JNE3405-KR-M,kurta,M,1,435,HYDERABAD,TELANGANA,500088,No,adults
10726,405-8805188-3287552,8805188,F,30,04-01-2023,Delivered,Amazon,SET265-KR-NP-L,Set,L,1,877,KOLKATA,WEST BENGAL,700099,No,adults
10734,405-2258415-2444323,2258415,M,30,04-01-2023,Delivered,Flipkart,J0341-DR-XXXL,Western Dress,3XL,1,885,KAKINADA,ANDHRA PRADESH,533005,No,adults
20504,402-2490566-5403543,2490566,F,30,05-01-2023,Delivered,Amazon,SET184-KR-PP-L,Set,L,1,599,KOLKATA,WEST BENGAL,700028,No,adults
10263,406-9040211-5250700,9040211,M,18,04-01-2023,Delivered,Others,PSET264-KR-NP-6XL,Set,6XL,1,909,VENGURLA,MAHARASHTRA,416516,No,youth
30908,171-0348146-3295554,348146,F,50,06-01-2023,Delivered,Flipkart,SAR022,Saree,Free,1,1477,BEGUSARAI,BIHAR,851101,No,middle_age
10266,404-1687574-7969152,1687574,M,18,04-01-2023,Delivered,Flipkart,SET324-KR-NP-M,Set,M,1,597,CHENNAI,TAMIL NADU,600126,No,youth
20603,408-9221528-0097925,9221528,F,30,05-01-2023,Delivered,Myntra,SET345-KR-NP-M,Set,M,1,635,Gorakhpur,UTTAR PRADESH,273001,No,adults
10362,402-0356132-4605166,356132,F,18,04-01-2023,Delivered,Ajio,J0236-SKD-XS,Set,XS,1,950,Palamaner,ANDHRA PRADESH,517408,No,youth
9173,407-0574308-7261924,574308,F,50,04-02-2023,Delivered,Myntra,JNE3865-TP-L,Top,L,1,836,NEW DELHI,DELHI,110017,No,middle_age
